"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.852086667E0,4.203981043E-1,2.611011877E0,4.313509113E0,5.059691538E0
1.862066667E0,4.016697284E-1,2.434110945E0,4.767088156E0,5.367621834E0
1.872046667E0,3.280080039E-1,1.436304206E0,5.287431293E0,5.488851309E0
1.882026667E0,1.344681991E-1,2.753571709E-1,5.843731297E0,5.851760311E0
1.892007667E0,-1.160200510E-1,-8.157267100E-1,6.543721363E0,6.595389298E0
1.901987667E0,-3.207248218E-1,-2.047944013E0,6.962420595E0,7.264450402E0
1.911967667E0,-4.873971092E-1,-3.078106759E0,6.660482073E0,7.353524231E0
1.921947667E0,-7.466520166E-1,-3.459805980E0,5.651713997E0,6.668554398E0
1.931927667E0,-9.241123804E-1,-2.921190587E0,4.287777271E0,5.269949911E0
1.941908667E0,-7.979936399E-1,-1.976875638E0,2.532871733E0,3.310629903E0
1.951888667E0,-6.397285156E-1,-1.290113289E0,6.178653377E-1,1.566972383E0
1.961868667E0,-5.814228220E-1,-8.930937054E-1,-1.252151411E0,1.644248163E0
1.971848667E0,-6.103819615E-1,-5.808799811E-1,-2.743675552E0,2.870146900E0
1.981828667E0,-6.807410324E-1,-3.323213487E-1,-3.527763782E0,3.608180031E0
1.991808667E0,-8.298017621E-1,-3.254214150E-1,-3.400314946E0,3.515197263E0
2.001789667E0,-9.613399945E-1,-5.755179747E-1,-2.648272381E0,2.875542059E0
2.011769667E0,-1.029647899E0,-1.059679637E0,-1.911263593E0,2.415786466E0
2.021749667E0,-1.150971630E0,-1.556785792E0,-1.497385975E0,2.447546210E0
2.031729667E0,-1.175050172E0,-1.874891134E0,-1.491211315E0,2.668271136E0
2.041709667E0,-9.761739421E-1,-1.974573882E0,-1.703663464E0,2.784659185E0
2.051690667E0,-5.653759426E-1,-1.862039831E0,-2.047662762E0,2.824847797E0
2.061670667E0,-4.108124713E-1,-1.612836032E0,-2.435731940E0,2.950050344E0
2.071650667E0,-4.409465357E-1,-1.307233937E0,-2.761608378E0,3.087033405E0
2.081630667E0,-5.040596639E-1,-9.793480300E-1,-2.900147043E0,3.102265556E0
2.091610667E0,-5.676060707E-1,-6.789570469E-1,-2.823620439E0,2.959052501E0
2.101591667E0,-5.635826381E-1,-3.713876563E-1,-2.786938516E0,2.867504224E0
2.111571667E0,-5.947430716E-1,-1.002766878E-1,-2.869376070E0,2.932080110E0
2.121551667E0,-6.279532465E-1,9.242058811E-2,-3.059563192E0,3.124706989E0
2.131531667E0,-5.280114306E-1,3.113227183E-1,-3.291892950E0,3.348473846E0
2.141511667E0,-2.610736838E-1,5.809723306E-1,-3.512207850E0,3.569494684E0
2.151492667E0,1.285505610E-1,8.542627848E-1,-3.727760192E0,3.826550170E0
2.161472667E0,4.684286686E-1,1.160047824E0,-3.947447101E0,4.140950976E0
2.171452667E0,4.443929943E-1,1.364599508E0,-3.874351643E0,4.131611986E0
2.181432667E0,3.116387237E-1,1.417214508E0,-3.541263834E0,3.827030859E0
2.191412667E0,1.263110774E-1,1.315870128E0,-3.246267126E0,3.505098991E0
2.201393667E0,-1.500709824E-2,1.172951021E0,-3.121385803E0,3.334529748E0
2.211373667E0,-1.280087800E-1,1.093324077E0,-3.050324591E0,3.242872784E0
2.221353667E0,-1.437364562E-1,1.163011266E0,-2.905738150E0,3.133140529E0
2.231333667E0,2.481914638E-2,1.275035221E0,-2.840887266E0,3.113996028E0
2.241313667E0,3.014927448E-1,1.366303533E0,-2.699599240E0,3.040644550E0
2.251294667E0,4.065365122E-1,1.402743234E0,-2.265339398E0,2.695315029E0
2.261274667E0,1.829985176E-1,1.321496611E0,-1.712619644E0,2.170923259E0
2.271254667E0,-2.922601009E-1,1.084149650E0,-8.979960841E-1,1.437773764E0
2.281234667E0,-6.099228454E-1,7.734707098E-1,-8.794680119E-2,9.889375390E-1
2.291214667E0,-6.206622802E-1,5.761198359E-1,5.574074668E-1,1.013823858E0
2.301194667E0,-4.779961752E-1,3.921861293E-1,1.180537637E0,1.332651274E0
2.311175667E0,-2.800505299E-1,2.133682979E-1,1.960165027E0,1.991532390E0
2.321155667E0,-2.684801326E-1,4.913093716E-2,2.775718879E0,2.789105721E0
2.331135667E0,-3.479827870E-1,-2.937082004E-2,3.494686083E0,3.512091326E0
2.341115667E0,-5.569803277E-1,-1.744790878E-2,3.994381531E0,4.033065253E0
2.351095667E0,-7.868182951E-1,1.404953628E-1,4.314534715E0,4.387941634E0
2.361076667E0,-9.212795506E-1,5.688958203E-1,4.509809498E0,4.637971558E0
2.371056667E0,-1.235156187E0,1.252779256E0,4.227536917E0,4.578988431E0
2.381036667E0,-1.364261977E0,1.721673765E0,3.433745817E0,4.076270554E0
2.391016667E0,-1.173968583E0,1.496123414E0,2.773836660E0,3.363146937E0
2.400996667E0,-9.903202571E-1,1.129621107E0,2.925045072E0,3.288261962E0
2.410977667E0,-8.069439729E-1,1.051517508E0,3.625440350E0,3.860138000E0
